,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
16588,NM,Los Luceros CDP,49.8,0,2.8,0,90.1
16589,NM,Los Lunas village,72.1,2,2.5,0.8,57.9
16590,NM,Los Ojos CDP,65.6,0,1.6,0,91.2
16591,NM,Los Ranchos de Albuquerque village,79.4,0.7,2.5,0.9,41.9
16592,NM,Loving village,63.5,1.1,2.5,0.2,77.2
16593,NM,Lovington city,66.9,2.4,1.5,0.4,64.3
16594,NM,Lower Frisco CDP,100,0,0,0,38.7
16595,NM,Luis Lopez CDP,91.6,0,0,0,67.3
16596,NM,Lumberton CDP,56.2,2.7,5.5,0,71.2
16597,NM,Luna CDP,91.8,0,0,0,14.6
16598,NM,Lyden CDP,60,0.4,0.4,0,87.3
16599,NM,McCartys Village CDP,2.1,0,97.9,0,2.1
16600,NM,McIntosh CDP,78.2,1.5,1.7,0.5,35.9
16601,NM,Madrid CDP,96.1,0,0,0.5,3.4
16602,NM,Madrone CDP,79.8,1.3,2,0.6,66.9
16603,NM,Magdalena village,73,0.5,13.2,0.1,45
16604,NM,Malaga CDP,64.6,0,0.7,0,77.6
16605,NM,Manzano CDP,55.2,0,13.8,0,72.4
16606,NM,Manzano Springs CDP,81,0,1.5,1.5,20.4
16607,NM,Maxwell village,80.3,0,1.2,0.4,43.3
16608,NM,Mayhill CDP,96,0,0,0,4
16609,NM,Meadow Lake CDP,63.2,1.5,2.9,0.5,73
16610,NM,Melrose village,85.7,0.2,1.8,0.3,18.7
16611,NM,Mescalero CDP,3.3,0,95.1,0.1,10.7
16612,NM,Mesilla town,91.7,0.6,1.6,0.6,48.2
16613,NM,Mesita CDP,1.2,0,96.4,0,4.5
16614,NM,Mesquite CDP,72,0.2,1.3,0,95.7
16615,NM,Middle Frisco CDP,77.9,0,0,0,58.4
16616,NM,Midway CDP,61.2,1.2,0.7,0.6,67.3
16617,NM,Milan village,68,1.4,13,0.6,67.1
16618,NM,Mimbres CDP,87.6,0.9,2.2,0.4,21.6
16619,NM,Monterey Park CDP,55.4,0.6,1.5,0,94.3
16620,NM,Monument CDP,92.7,0.5,0.5,0,33.5
16621,NM,Moquino CDP,59.5,0,27,0,56.8
16622,NM,Mora CDP,69.4,0,0.8,0.2,90.4
16623,NM,Moriarty city,68.3,1.7,2.9,0.8,43.7
16624,NM,Morningside CDP,56.1,0,1.9,0,83.7
16625,NM,Mosquero village,84.9,0,1.1,0,57
16626,NM,Mountainair town,65,1.4,1.7,0.4,54.6
16627,NM,Mountain View CDP,63.9,0,0,1.6,70.5
16628,NM,Nadine CDP,78.2,0.8,4.3,0,37.8
16629,NM,Nageezi CDP,0,0,96.2,0,6.6
16630,NM,Nakaibito CDP,0.6,0,94.2,0,3.4
16631,NM,Nambe CDP,25.7,0.6,26.6,0.6,56.7
16632,NM,Napi Headquarters CDP,0.6,0,97,0,2.6
16633,NM,Nara Visa CDP,91.6,0,0,0,11.6
16634,NM,Naschitti CDP,0.3,0,96.3,0,2.7
16635,NM,Navajo CDP,1.6,0.2,95.9,0.5,3
16636,NM,Navajo Dam CDP,78.6,1.1,3.2,0.7,24.9
16637,NM,Nenahnezad CDP,2.6,0.1,93.5,0.1,4.2
16638,NM,Newcomb CDP,6.2,2.1,87,1.8,4.1
16639,NM,Newkirk CDP,100,0,0,0,28.6
16640,NM,Nogal CDP,93.8,0,4.2,2.1,8.3
16641,NM,North Acomita Village CDP,3.3,0,96.4,0,1
16642,NM,North Hobbs CDP,86.6,1.7,0.6,0.7,29.6
16643,NM,North Hurley CDP,73.7,0.3,1,0,82
16644,NM,North Light Plant CDP,80.2,0,3.9,0,27.1
16645,NM,North San Ysidro CDP,71.1,0,1.3,0,70.4
16646,NM,North Valley CDP,70.9,0.6,3,0.6,59.2
16647,NM,Oasis CDP,91.3,1.3,2,0.7,12.1
16648,NM,Ohkay Owingeh CDP,3.9,0.1,83,0.2,19.7
16649,NM,Ojo Amarillo CDP,0.7,0,95.8,0,4.3
16650,NM,Organ CDP,78.6,2.5,2.2,0.3,41.5
16651,NM,Orogrande CDP,76.9,0,0,7.7,30.8
16652,NM,Paguate CDP,1.7,0,96,0.2,3.6
16653,NM,Pajarito Mesa CDP,35.8,0.7,2.6,0,93.4
16654,NM,Paradise Hills CDP,80.2,2,3.6,1.2,37.6
16655,NM,Paraje CDP,2.8,0.3,92.7,2.2,3.5
16656,NM,Pastura CDP,87,0,0,0,82.6
16657,NM,Peak Place CDP,21,0.3,5.3,0.3,89.7
16658,NM,Pecan Park CDP,96,0,0,0,18.7
16659,NM,Pecos village,64.8,0.9,2.1,0.4,79.7
16660,NM,Pe_a Blanca CDP,25,1.1,13.5,0,74.3
16661,NM,Pe_asco CDP,61,0.3,0.3,0,90.5
16662,NM,Peralta town,76,0.9,2.5,0.2,54.5
16663,NM,Picuris Pueblo CDP,7.4,0,88.2,0,22.1
16664,NM,Pie Town CDP,87.1,1.6,5.4,0,11.3
16665,NM,Pinehill CDP,0,0,96.6,0,8
16666,NM,Pinon CDP,100,0,0,0,8
16667,NM,Pinos Altos CDP,91.9,0,2,0,11.6
16668,NM,Placitas CDP (Do_a Ana County),63.5,0.9,1.9,0.7,93.2
16669,NM,Placitas CDP (Sandoval County),91.4,0.9,1.2,1,20.9
16670,NM,Playas CDP,91.9,0,0,0,20.3
16671,NM,Pleasanton CDP,94.3,0,0,0,18.9
16672,NM,Pojoaque CDP,50.2,0.8,17.8,0.4,67.9
16673,NM,Polvadera CDP,83.3,0.4,3.7,0,72.5
16674,NM,Ponderosa CDP,66.4,0,9.6,0.3,55
16675,NM,Ponderosa Pine CDP,91.5,0.4,0.9,0.3,17.7
16676,NM,Portales city,74.7,2.5,1.6,1.2,43
16677,NM,Pueblito CDP,6.6,0,48.4,0,41.8
16678,NM,Pueblitos CDP,83.2,0.9,2.6,0,48.5
16679,NM,Pueblo CDP,57.6,0,6.4,0,87.2
16680,NM,Pueblo of Sandia Village CDP,1.4,0.3,93.8,0,11.4
16681,NM,Pueblo Pintado CDP,4.7,0,91.7,0.5,0.5
16682,NM,Puerto de Luna CDP,80.9,0,0.7,0,75.9
16683,NM,Pulpotio Bareas CDP,70.8,0,0,0,79.2
16684,NM,Quemado CDP,74.6,0.9,18.4,0,23.7
16685,NM,Questa village,69.4,0.3,1.1,0.3,82.1
16686,NM,Radium Springs CDP,85.5,0.5,0.9,0.4,52.8
16687,NM,Ramah CDP,71.4,0.3,16.2,0.3,10
16688,NM,Rancho Grande CDP,89.4,0,4.2,0,12
16689,NM,Ranchos de Taos CDP,64.2,0.7,1.9,0.3,70.3
16690,NM,Raton city,83.1,0.4,1.4,0.3,57.9
16691,NM,Red River town,92.5,0.2,0.4,0,12.4
16692,NM,Regina CDP,85.7,0,2.9,0,24.8
16693,NM,Reserve village,87.5,0.3,0.7,0.3,40.5
16694,NM,Ribera CDP,51.2,1.7,0.7,0.2,85.1
16695,NM,Rincon CDP,70.1,0,1.5,0,88.2
16696,NM,Rio Communities CDP,83.4,2.3,1.7,0.5,46.2
16697,NM,Rio en Medio CDP,79,0,0.7,0.7,67.1
16698,NM,Rio Lucio CDP,65.8,0,1.3,0,94.6
16699,NM,Rio Rancho city,76,2.9,3.2,1.9,36.7
16700,NM,Rivers CDP,92.9,0,0,0,28.6
16701,NM,Rock Springs CDP,0.5,0,98.9,0,1.1
16702,NM,Rodeo CDP,83.2,0,4,3,23.8
16703,NM,Rodey CDP,75.3,0.3,0.3,0,95.6
16704,NM,Rosedale CDP,91.4,1.5,0.3,0.3,34.3
16705,NM,Roswell city,69.9,2.5,1.2,0.7,53.4
16706,NM,Rowe CDP,66.7,1.2,2.7,0,81
16707,NM,Roy village,83.8,0.9,1.3,0,58.1
16708,NM,Ruidoso village,85.9,0.4,3,0.6,27.1
16709,NM,Ruidoso Downs city,73,1,5.2,0.3,50.1
16710,NM,Sacramento CDP,91.4,1.7,0,0,8.6
16711,NM,Salem CDP,72.5,0,0.6,0.5,96.9
16712,NM,San Acacia CDP,100,0,0,0,50
16713,NM,San Antonio CDP,95.8,0,0.6,0.6,55.2
16714,NM,San Antonito CDP (Bernalillo County),86.3,0.4,2.1,1,22.1
16715,NM,San Antonito CDP (Socorro County),76.6,1.1,11.7,1.1,47.9
16716,NM,San Cristobal CDP,79.9,1.1,1.8,1.5,41.8
16717,NM,Sandia Heights CDP,94.7,0.6,0.8,1.5,8.4
16718,NM,Sandia Knolls CDP,91.3,0.4,0.5,0.2,15.3
16719,NM,Sandia Park CDP,97,0.4,0.4,0.4,10.5
16720,NM,San Felipe Pueblo CDP,0.3,0,99.2,0,0.7
16721,NM,San Fidel CDP,33.3,0,22.5,0,59.4
16722,NM,San Ildefonso Pueblo CDP,11.3,0,62.2,0,31.9
16723,NM,San Jon village,83.8,0.5,4.6,2.8,31
16724,NM,San Jose CDP (Rio Arriba County),61.4,0.1,2.4,0.6,94.1
16725,NM,San Jose CDP (San Miguel County),66.4,1.5,1.5,0,84.7
16726,NM,San Lorenzo CDP,79.4,0,6.2,0,53.6
16727,NM,San Luis CDP,20.3,0,8.5,0,88.1
16728,NM,San Mateo CDP,57.1,2.5,4.3,0,85.7
16729,NM,San Miguel CDP,74.7,0.2,0.8,0.3,89.9
16730,NM,Sanostee CDP,0,0,99.7,0,0.8
16731,NM,San Pablo CDP,67.2,0,1,0.2,73.6
16732,NM,San Pedro CDP,90.8,1.6,0.5,1.6,8.7
16733,NM,San Rafael CDP,54.8,0.4,2.3,0.5,72.3
16734,NM,Santa Ana Pueblo CDP,1.8,0,96.4,0,4.1
16735,NM,Santa Clara village,78.6,0.8,2.2,0.1,80
16736,NM,Santa Clara Pueblo CDP,10.3,0.3,77.5,0.3,23.6
16737,NM,Santa Cruz CDP,85.9,0.8,2.2,0,89.7
16738,NM,Santa Fe city,78.9,1,2.1,1.4,48.7
16739,NM,Santa Rosa city,69.2,2.4,2,1.8,79.4
16740,NM,Santa Teresa CDP,82.6,1,1,0.3,76
16741,NM,Santo Domingo Pueblo CDP,0.3,0,98.7,0,1.1
16742,NM,San Ysidro CDP,80.1,0.8,1.4,0.4,52.6
16743,NM,San Ysidro village,36.8,0,15.5,0,60.6
16744,NM,Sausal CDP,79.9,0.4,3.3,0.8,61.7
16745,NM,Seama CDP,2.6,0,95.3,0,5.8
16746,NM,Seboyeta CDP,49.2,0,9.5,0,78.8
16747,NM,Sedillo CDP,85.5,0.2,0.6,1.5,24.2
16748,NM,Sena CDP,61.2,0,2.3,0,86.8
16749,NM,Sheep Springs CDP,0.4,0,96.7,0,0.8
16750,NM,Shiprock CDP,1.5,0.1,96.2,0.2,1.6
16751,NM,Silver City town,81.6,1.3,1.4,0.7,52.4
16752,NM,Skyline-Ganipa CDP,0.6,0.2,97.4,0,2
16753,NM,Socorro city,80.7,1.5,3.9,2.1,54
16754,NM,Soham CDP,56.7,0,1.4,0,87.6
16755,NM,Sombrillo CDP,79.2,0.6,2,5.1,50.4
16756,NM,South Acomita Village CDP,0,0,97.1,0,2.9
16757,NM,South Valley CDP,59.5,1.2,2.2,0.4,80.2
16758,NM,Spencerville CDP,83.2,0.6,5.6,0.2,19.9
16759,NM,Springer town,77.4,0.2,1,0.4,64.8
16760,NM,Sunland Park city,74.3,0.6,0.5,0.2,95.2
16761,NM,Sunshine CDP,88.6,1.4,0.5,0.2,23.3
16762,NM,Tajique CDP,40.8,0,1.5,0,76.2
16763,NM,Talpa CDP,61.3,0.6,1.2,0.3,74.7
16764,NM,Taos town,71.1,0.7,5.3,1,51.9
16765,NM,Taos Pueblo CDP,4.1,0.1,93,0,5.6
16766,NM,Taos Ski Valley village,89.9,0,0,0,24.6
16767,NM,Tatum town,80.2,1.4,0.9,0.9,44.2
16768,NM,Tecolote CDP,70.8,0,1.7,0.3,92.6
16769,NM,Tecolotito CDP,69.4,0,0,0,91.8
16770,NM,Tesuque CDP,89.3,0.3,0.9,0.8,27.2
16771,NM,Tesuque Pueblo CDP,1.7,0,97.4,0,7.7
16772,NM,Texico city,52.6,4.7,1.5,0.1,55.9
16773,NM,Thoreau CDP,15.4,0.3,79.8,0.1,7.9
16774,NM,Tierra Amarilla CDP,65.7,1,1,0.3,92.7
16775,NM,Tijeras village,75.8,0.7,1.5,0.4,50.6
16776,NM,Timberon CDP,91.7,0,0.6,0.9,15.2
16777,NM,Tohatchi CDP,5.6,0,87.9,5.1,2
16778,NM,Tome CDP,76.6,0.6,1.8,0.5,64
16779,NM,Torreon CDP (Sandoval County),4,0,92.9,0,2.5
16780,NM,Torreon CDP (Torrance County),61.6,0.4,0.8,0,72.2
16781,NM,Trout Valley CDP,100,0,0,0,6.3
16782,NM,Truchas CDP,58.2,0.4,1.3,0,86.1
16783,NM,Truth or Consequences city,85.7,0.6,1.9,0.5,28.2
16784,NM,Tse Bonito CDP,19.4,0,76.6,0,7.4
16785,NM,Tucumcari city,81.4,1.7,1.2,1.2,57.4
16786,NM,Tularosa village,72.4,0.6,6.2,0.4,53.9
16787,NM,Twin Forks CDP,96.4,0,0.5,0,6.6
16788,NM,Twin Lakes CDP,0.4,0,98.8,0,1
16789,NM,Tyrone CDP,95,0.6,0.3,0.5,43.5
16790,NM,University Park CDP,69.1,4.7,5.8,6.3,39.6
16791,NM,Upper Fruitland CDP,1,0,95.6,0,3.9
16792,NM,Ute Park CDP,84.5,0,1.4,0,26.8
16793,NM,Vadito CDP,60,0,0.7,0,92.2
16794,NM,Vado CDP,61.1,0.9,0.7,0.2,95.5
16795,NM,Valencia CDP,72.4,0.8,4.4,1.1,56.2
16796,NM,Vaughn town,68.2,1.6,1.3,0,86.3
16797,NM,Veguita CDP,78.9,0,2.2,0,74.6
16798,NM,Velarde CDP,61.2,0,3.6,0,84.9
16799,NM,Ventura CDP,81.6,0.2,0.9,0.4,36.5
16800,NM,Villanueva CDP,52.4,0,3.5,0,89.5
16801,NM,Virden village,92.8,0,0,0.7,21.7
16802,NM,Wagon Mound village,77.7,0.6,2.2,0,84.4
16803,NM,Waterflow CDP,48.4,0.7,44.5,0.2,10.2
16804,NM,Watrous CDP,85.2,0,3,0,83.7
16805,NM,Weed CDP,95.2,1.6,0,1.6,0
16806,NM,West Hammond CDP,72.8,0.8,14.3,0.1,26.2
16807,NM,White Rock CDP,92.1,0.5,0.6,3.5,13.9
16808,NM,White Sands CDP,71.2,12.4,1.2,2.7,18.7
16809,NM,Whites City CDP,100,0,0,0,71.4
16810,NM,White Signal CDP,95,1.1,0.6,0,15.5
16811,NM,Willard village,70,1.2,0.4,0.8,81.8
16812,NM,Williamsburg village,92.4,0,2.2,0,23.8
16813,NM,Windmill CDP,86,0,2.3,0,41.9
16814,NM,Winston CDP,90.2,0,8.2,0,32.8
16815,NM,Yah-ta-hey CDP,11.4,0.3,75.4,0,13.4
16816,NM,Young Place CDP,71.1,0,8.6,1.1,32.6
16817,NM,Youngsville CDP,71.4,0,0,0,89.3
16818,NM,Zia Pueblo CDP,0.1,0,99.5,0,2
16819,NM,Zuni Pueblo CDP,1.1,0.1,97.1,0.3,2.6
16820,NY,Accord CDP,91.3,2.7,1.1,0.9,7.1
16821,NY,Adams village,97.4,0.7,0.1,0.5,0.7
16822,NY,Adams Center CDP,95.5,1.5,0.1,0.4,1.3
16823,NY,Addison village,96.9,0.5,0.2,0.7,1.8
16824,NY,Afton village,98.3,0.2,0,0.7,3.6
16825,NY,Airmont village,86.3,4.6,0.3,5,8.2
16826,NY,Akron village,96.3,0.5,1.5,0.3,1.3
16827,NY,Albany city,57,30.8,0.3,5,8.6
16828,NY,Albertson CDP,70.4,0.3,0.1,24.3,7.3
16829,NY,Albion village,83.7,9.2,0.5,0.7,6.3
16830,NY,Alden village,97.4,0.5,0.3,1.2,0.5
16831,NY,Alexander village,97.1,0.2,0,1.2,1.2
16832,NY,Alexandria Bay village,96.7,0.9,0.2,0.6,2.8
16833,NY,Alfred village,84.2,7.1,0.2,4.6,4.4
16834,NY,Allegany village,96.1,0.2,0.1,2.2,2
16835,NY,Almond village,97.4,0,0,0.6,1.5
16836,NY,Altamont village,96.5,0.7,0.2,1.3,2.2
16837,NY,Altmar village,96.3,1,0.5,0,1.2
16838,NY,Altona CDP,63.4,32.9,0.5,0.4,9.9
16839,NY,Amagansett CDP,92.3,1.1,0.2,1.9,10.2
16840,NY,Amenia CDP,88,3.7,0.6,1.5,13.9
16841,NY,Ames village,99.3,0,0,0,1.4
16842,NY,Amityville village,81.7,9.7,0.3,1.8,13.1
16843,NY,Amsterdam city,80.4,3.8,0.6,0.9,26.2
16844,NY,Andes CDP,96.4,0.8,0.4,0.8,6
16845,NY,Andover village,97.7,0.3,0.1,0.1,1.3
16846,NY,Angelica village,97.9,0,0.3,1.2,0.7
16847,NY,Angola village,95,0.6,2.1,0.1,3
16848,NY,Angola on the Lake CDP,96.9,0.5,1.4,0.1,1.4
16849,NY,Antwerp village,94.6,1.7,0.3,0,3.1
16850,NY,Apalachin CDP,97.2,0.3,0.1,0.6,1.1
16851,NY,Aquebogue CDP,90.7,4.2,0,0.2,11.9
16852,NY,Arcade village,97.4,0.3,0.3,0.3,1.2
16853,NY,Ardsley village,77.9,2.4,0,16.8,6.5
16854,NY,Argyle village,98.4,0,0.7,0,0.3
16855,NY,Arkport village,98.6,0.1,0.1,0.5,0.4
16856,NY,Arlington CDP,63.4,16.4,0.9,8.1,14.1
16857,NY,Armonk CDP,92.7,0.7,0,4.7,5.1
16858,NY,Asharoken village,95.9,0.2,0.2,2,3.1
16859,NY,Athens village,95.9,1.9,0,0.4,4
16860,NY,Atlantic Beach village,96.6,0.6,0,1,3.9
16861,NY,Attica village,96.5,0.5,0.2,0.5,1.7
16862,NY,Auburn city,86.3,8.5,0.4,0.6,3.6
16863,NY,Aurora village,91,3.3,0.1,1.8,5.7
16864,NY,Au Sable Forks CDP,98.9,0,0.2,0,0
16865,NY,Averill Park CDP,97.2,0.6,0,0.6,2.1
16866,NY,Avoca village,96.5,0.6,0.2,0.1,3.5
16867,NY,Avon village,95.5,1.3,0.3,0.8,2.1
16868,NY,Babylon village,91.9,2,0.1,2.2,6.7
16869,NY,Bainbridge village,97.7,0.2,0.1,0.3,2.4
16870,NY,Baiting Hollow CDP,96.8,0.9,0.1,0.7,6
16871,NY,Baldwin CDP,48.8,34.6,0.4,4.2,20.2
16872,NY,Baldwin Harbor CDP,61.3,26.6,0.1,4.9,11.8
16873,NY,Baldwinsville village,95.9,0.9,0.5,0.9,1.8
16874,NY,Ballston Spa village,93.9,1.2,0.2,1,3.2
16875,NY,Balmville CDP,73.1,15.9,0.3,2.6,14.4
16876,NY,Bardonia CDP,84.3,2.1,0.1,10.8,6.6
16877,NY,Barker village,97.2,0.2,0.9,0,7.1
16878,NY,Barneveld village,97.9,0.4,1.1,0.4,2.5
16879,NY,Barnum Island CDP,87,1.7,0.2,2.7,15.6
16880,NY,Batavia city,89.4,5.4,0.4,0.8,3
16881,NY,Bath village,93.7,3,0.3,0.6,1.3
16882,NY,Baxter Estates village,81.1,1.3,0.5,6,16.8
16883,NY,Bay Park CDP,96.2,0.3,0,1.7,6.4
16884,NY,Bayport CDP,94.6,1.4,0.1,1.7,5.3
16885,NY,Bay Shore CDP,61,19.6,0.7,3.2,30.8
16886,NY,Bayville village,95,0.3,0.4,1.7,6.5
16887,NY,Baywood CDP,63.8,14.8,0.8,4,34.7
16888,NY,Beacon city,63.6,23.2,0.3,1.6,20.7
16889,NY,Beaver Dam Lake CDP,91.3,3.2,0.3,1.5,11.2
16890,NY,Bedford CDP,93.9,0.9,0.1,2.8,7.3
16891,NY,Bedford Hills CDP,73.6,4.9,0.4,4.7,33.9
16892,NY,Belfast CDP,95.9,0.7,0.2,1.1,0.7
16893,NY,Bellerose village,87.1,3.5,0.3,4.4,9.5
16894,NY,Bellerose Terrace CDP,49.5,8.4,0.1,28.1,25.8
16895,NY,Belle Terre village,92.6,1.3,0.1,3.3,3.9
16896,NY,Belleville CDP,99.1,0,0,0.4,1.8
16897,NY,Bellmore CDP,93.4,1,0.1,3,5.7
16898,NY,Bellport village,94.2,1.7,0.4,1.3,4.2
16899,NY,Belmont village,96.8,0.6,0.5,0.1,1.1
16900,NY,Bemus Point village,96.4,0,0,2.2,0.3
16901,NY,Bergen village,96.5,0.3,0,0.9,2.2
16902,NY,Bethpage CDP,90.8,0.6,0.1,5.5,7
16903,NY,Big Flats CDP,94.1,1.5,0.2,2.9,1.2
16904,NY,Billington Heights CDP,98.2,0.1,0.1,0.6,0.7
16905,NY,Binghamton city,77.6,11.4,0.3,4.2,6.4
16906,NY,Binghamton University CDP,65.5,7.5,0.1,20.8,8.9
16907,NY,Black River village,89.6,4.4,0.2,1.9,3.5
16908,NY,Blasdell village,95.7,1.4,0.4,0.4,3.7
16909,NY,Blauvelt CDP,84.8,2.6,0.2,6.7,10.8
16910,NY,Bliss CDP,97.9,1.5,0,0.2,1.1
16911,NY,Blodgett Mills CDP,99,0,0.7,0,0.7
16912,NY,Bloomfield village,95.6,1,1,0.2,2.1
16913,NY,Bloomingburg village,84.3,4.5,0.5,1,13.3
16914,NY,Bloomville CDP,96.2,0.9,0.5,0.5,2.3
16915,NY,Blue Point CDP,95.3,0.8,0.2,1.7,4.2
16916,NY,Bohemia CDP,93.9,1,0.1,2.3,7.1
16917,NY,Bolivar village,97.6,1.1,0.4,0.3,1.1
16918,NY,Bolton Landing CDP,95.5,0.2,0.2,0.4,4.1
16919,NY,Boonville village,99.2,0,0.3,0,0.9
16920,NY,Brasher Falls CDP,96,0.1,0.7,0.3,1.8
16921,NY,Breesport CDP,97.3,0.3,1,0.5,1.8
16922,NY,Brentwood CDP,48.4,16.4,1.2,2,68.5
16923,NY,Brewerton CDP,95.3,1.3,0.6,0.8,1.5
16924,NY,Brewster village,75.7,2.9,0.6,3.4,56
16925,NY,Brewster Hill CDP,92,2,0,2.2,11.6
16926,NY,Briarcliff Manor village,86.4,3.4,0.1,6.9,5.3
16927,NY,Bridgehampton CDP,76.3,13.4,0.3,1.2,14.6
16928,NY,Bridgeport CDP,95.3,1.3,0.7,0.8,1.1
16929,NY,Bridgewater village,96.8,0.2,0.2,0.6,3
16930,NY,Brighton CDP,79.8,5.1,0.1,11.8,3.3
16931,NY,Brightwaters village,94.3,1.5,0,1.6,5.1
16932,NY,Brinckerhoff CDP,86.5,5.6,0.1,3.9,10.8
16933,NY,Broadalbin village,95.8,1.5,0,0.9,1.9
16934,NY,Brockport village,91.7,3.8,0.3,1.3,3.8
16935,NY,Brocton village,96.1,0.2,0.8,0.2,4.8
16936,NY,Bronxville village,90.3,1.4,0,5.2,4.4
16937,NY,Brookhaven CDP,89.3,6.6,0.1,0.7,6.1
16938,NY,Brookville village,75.6,11.5,0.2,10.3,6.3
16939,NY,Brownville village,97.6,0.4,0.3,0.7,1.3
16940,NY,Brushton village,96.8,0,1.5,0,0.6
16941,NY,Buchanan village,90.2,3.1,0,1.5,16
16942,NY,Buffalo city,50.4,38.6,0.8,3.2,10.5
16943,NY,Burdett village,96.2,0.9,0.3,0.3,0.9
16944,NY,Burke village,96.7,0,0,0,3.3
16945,NY,Busti CDP,95.4,1,1.3,0.8,0.8
16946,NY,Byersville CDP,93.6,2.1,0,0,0
16947,NY,Cairo CDP,93.1,1.8,0.4,0.8,6.3
16948,NY,Calcium CDP,73,13.9,0.7,2.1,13.9
16949,NY,Caledonia village,94.1,3.4,0,0.7,1.4
16950,NY,Callicoon CDP,97.6,0.6,0,0.6,8.4
16951,NY,Calverton CDP,87.2,8,0.2,0.9,7
16952,NY,Cambridge village,96.1,1.1,0.1,0.9,1.3
16953,NY,Camden village,97.8,0.4,0.3,0.3,0.7
16954,NY,Camillus village,94.2,3.5,0.4,0.2,1.8
16955,NY,Campbell CDP,97.2,0.1,0,0.1,0.7
16956,NY,Canajoharie village,95,2.2,0.4,0.6,2.3
16957,NY,Canandaigua city,95.1,1.8,0.3,0.7,2
16958,NY,Canaseraga village,97.5,0.2,0.5,0,1.3
16959,NY,Canastota village,95.9,1,0.5,0.5,2
16960,NY,Candor village,97.3,0.8,0.1,0,1.6
16961,NY,Canisteo village,98.5,0.5,0.1,0.4,1.1
16962,NY,Canton village,88,6.2,0.5,1.9,4.4
16963,NY,Cape Vincent village,97.4,0.4,0,0,2.3
16964,NY,Carle Place CDP,84.2,2.1,0.1,7.9,11.1
16965,NY,Carmel Hamlet CDP,90.3,3,0.2,1.9,13.1
16966,NY,Caroga Lake CDP,97.9,0,0.2,0.4,0.2
16967,NY,Carthage village,90,3.8,0.5,1.6,4.6
16968,NY,Cassadaga village,98.3,0.2,0.2,0.3,0.8
16969,NY,Castile village,98.6,0.3,0.2,0.2,1.3
16970,NY,Castleton-on-Hudson village,97,1.3,0,0.3,2.6
16971,NY,Castorland village,98,0.6,0,0.3,2.8
16972,NY,Cato village,96.4,0,0.2,0,1.3
16973,NY,Catskill village,78.6,12.4,0.6,1.3,9
16974,NY,Cattaraugus village,98.4,0.3,0.7,0,1.9
16975,NY,Cayuga village,97.1,0.9,0.2,0.2,0.2
16976,NY,Cayuga Heights village,79.5,2.1,0.1,14.7,4.7
16977,NY,Cazenovia village,94.8,1.9,0.3,1.1,3
16978,NY,Cedarhurst village,87.8,2.2,0,3.6,10.7
16979,NY,Celoron village,95.9,0.8,0.2,0.5,2.9
16980,NY,Centereach CDP,85.4,3.1,0.1,6.2,11.3
16981,NY,Center Moriches CDP,89.5,3.5,0.2,1.4,10.2
16982,NY,Centerport CDP,96.3,0.5,0.1,1.9,3.5
16983,NY,Central Bridge CDP,97.5,0.5,0,0.5,1.3
16984,NY,Central Islip CDP,43.6,25,0.9,3.4,52.1
16985,NY,Central Square village,97.7,0.1,0.5,0.5,1.2
16986,NY,Centre Island village,93.9,0,0,3.7,7.3
16987,NY,Chadwicks CDP,96.9,0.9,0.3,0.6,3.7
16988,NY,Champlain village,96.3,0.2,0.3,1.4,2.5
16989,NY,Chappaqua CDP,81.7,1.9,0,12.5,7.8
16990,NY,Chateaugay village,98.3,0.2,0.2,0.1,0.7
16991,NY,Chatham village,88.8,3.4,0.3,2,5
16992,NY,Chaumont village,96.8,0.5,0,0.5,1.1
16993,NY,Chautauqua CDP,99.5,0,0,0.5,1
16994,NY,Chazy CDP,96.6,0.9,0,0.5,1.1
16995,NY,Cheektowaga CDP,86.8,9.2,0.3,1.7,2.2
16996,NY,Chenango Bridge CDP,96.3,0.8,0.3,1,1.1
16997,NY,Cherry Creek village,98.3,0.2,0,0.4,2.6
16998,NY,Cherry Valley village,96.2,1.2,0.6,0,1
16999,NY,Chester village,69.8,11.8,0.6,6.2,17.6
17000,NY,Chestertown CDP,97,0.6,0.1,0.1,4.4
17001,NY,Chestnut Ridge village,68.7,17.5,0.1,8.1,11.1
17002,NY,Chittenango village,96.2,1.1,0.7,0.5,1.8
17003,NY,Churchville village,95.7,1.3,0.2,1.1,1.7
17004,NY,Clarence CDP,98,0.5,0.2,0.8,0.8
17005,NY,Clarence Center CDP,94.6,1.1,0.1,2.4,1.2
17006,NY,Clark Mills CDP,94.7,1,0.3,1.5,1.8
17007,NY,Clarkson CDP,92.8,2.4,0.4,1.4,3
17008,NY,Claverack-Red Mills CDP,95.9,1.9,0.1,0.7,1.4
17009,NY,Clayton village,95.6,1.7,0.5,0.3,2.9
17010,NY,Clayville village,96.9,1.7,0,0.3,0.6
17011,NY,Cleveland village,97.2,0.4,0.7,0.9,1.2
17012,NY,Clifton Springs village,96.3,0.9,0,1,2.4
17013,NY,Clinton village,95.4,0.9,0.2,2.1,1.6
17014,NY,Clintondale CDP,89.5,3.6,0.1,2.3,8.3
17015,NY,Clyde village,90.2,4.5,0.2,0.5,4
17016,NY,Cobleskill village,90.2,4.2,0.3,1.9,4.7
17017,NY,Cohocton village,96.8,0.4,0.1,0.1,1.3
