,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
3174,CA,Seville CDP,41.7,0,1,0,95.4
3175,CA,Shackelford CDP,46.3,0.8,1.9,1.8,79.6
3176,CA,Shafter city,48,1.3,1.2,0.7,80.3
3177,CA,Shandon CDP,64.9,2.6,1.4,0.5,53.5
3178,CA,Shasta CDP,91,0.6,2.1,1.3,3.2
3179,CA,Shasta Lake city,86.1,0.7,3.8,2.3,8.5
3180,CA,Shaver Lake CDP,96.4,0,0.8,0.5,6.9
3181,CA,Shell Ridge CDP,85.6,0.5,0.2,7.6,6.2
3182,CA,Shelter Cove CDP,90.9,0.4,0.7,1,6.8
3183,CA,Sheridan CDP,82.9,0.6,1.6,1.1,20.4
3184,CA,Shingle Springs CDP,88.4,0.3,2.4,1.1,10.6
3185,CA,Shingletown CDP,93,0.2,2.1,0.4,3.8
3186,CA,Shoshone CDP,90.3,3.2,3.2,0,0
3187,CA,Sierra Brooks CDP,97.5,0,0.8,0.2,4.6
3188,CA,Sierra City CDP,90.5,0,0.9,1.4,9.5
3189,CA,Sierra Madre city,82.1,1.8,0.4,7.6,14.9
3190,CA,Sierra Village CDP,92.3,0.7,1.5,0.7,7.9
3191,CA,Sierraville CDP,93.5,1,0,0,8
3192,CA,Signal Hill city,42.2,13.6,0.8,20.4,31.5
3193,CA,Silverado Resort CDP,92.2,0.1,0.1,3.3,5.4
3194,CA,Silver City CDP,(X),(X),(X),(X),(X)
3195,CA,Silver Lakes CDP,81.2,5.6,0.7,3.5,16.1
3196,CA,Simi Valley city,75.3,1.4,0.6,9.3,23.3
3197,CA,Sisquoc CDP,79.8,0,2.7,1.6,31.7
3198,CA,Sky Valley CDP,81.5,1.5,1.4,0.9,28.3
3199,CA,Sleepy Hollow CDP,90.6,0.6,0.4,4.7,2.9
3200,CA,Smartsville CDP,88.7,0,2.8,0,10.2
3201,CA,Smith Corner CDP,43.3,1.9,0.6,0.4,84
3202,CA,Smith River CDP,61,0.1,6.8,0.6,33.8
3203,CA,Snelling CDP,89.2,0,1.3,2.6,14.3
3204,CA,Soda Bay CDP,83,1.6,1.4,1.2,16.8
3205,CA,Soda Springs CDP,97.5,0,2.5,0,8.6
3206,CA,Solana Beach city,85.8,0.5,0.5,4,15.9
3207,CA,Soledad city,49.1,11.4,1.4,2.9,71.1
3208,CA,Solvang city,82.5,0.7,1.1,1.4,29.2
3209,CA,Sonoma city,86.8,0.5,0.5,2.8,15.3
3210,CA,Sonora city,89.8,0.5,1.9,1.6,11.1
3211,CA,Soquel CDP,81.9,0.9,0.7,3.7,16.7
3212,CA,Soulsbyville CDP,92,0.1,1.9,0.6,9.3
3213,CA,South Dos Palos CDP,49.9,8.3,1.3,2.2,77.9
3214,CA,South El Monte city,50.4,0.5,1.2,11,84.9
3215,CA,South Gate city,50.5,0.9,0.9,0.8,94.8
3216,CA,South Lake Tahoe city,73.5,0.9,1.1,5.5,31.1
3217,CA,South Monrovia Island CDP,50.7,8.4,0.7,6.2,74
3218,CA,South Oroville CDP,59.3,7.1,4.3,15.4,14.8
3219,CA,South Pasadena city,54.3,3,0.4,31.1,18.6
3220,CA,South San Francisco city,37.3,2.6,0.6,36.6,34
3221,CA,South San Gabriel CDP,27.2,1,0.7,49.4,42.7
3222,CA,South San Jose Hills CDP,45.3,1.5,0.9,8,86.2
3223,CA,South Taft CDP,64.7,1,2.5,0.2,42.9
3224,CA,South Whittier CDP,58.9,1.5,1.3,4,77.1
3225,CA,Spaulding CDP,94.4,0,1.7,0.6,3.4
3226,CA,Spreckels CDP,71.8,0,1.9,3.9,28.7
3227,CA,Spring Garden CDP,93.8,0,0,6.3,0
3228,CA,Spring Valley CDP (Lake County),90.7,1.8,1.2,0.7,8.4
3229,CA,Spring Valley CDP (San Diego County),59.5,11.1,0.8,5.9,32.6
3230,CA,Spring Valley Lake CDP,78.5,4.9,0.7,4.6,18.6
3231,CA,Springville CDP,89.5,0.5,2.1,0.7,11.7
3232,CA,Squaw Valley CDP,85.4,0.9,2.4,1.5,16.6
3233,CA,Squirrel Mountain Valley CDP,93.1,0.4,1.6,0.2,4
3234,CA,Stallion Springs CDP,90,1.2,1,1.3,11.5
3235,CA,Stanford CDP,57.4,4.7,0.6,27.4,10.4
3236,CA,Stanton city,44.5,2.2,1.1,23.1,50.8
3237,CA,Stevenson Ranch CDP,64.2,3.5,0.4,22.9,16.1
3238,CA,Stevinson CDP,72.8,1.3,0,0,42.5
3239,CA,Stinson Beach CDP,92.1,0.5,1.3,2.2,5.2
3240,CA,Stirling City CDP,89.5,0.3,3.7,0,5.8
3241,CA,Stockton city,37,12.2,1.1,21.5,40.3
3242,CA,Stonyford CDP,85.2,0,2.7,0,14.8
3243,CA,Storrie CDP,100,0,0,0,0
3244,CA,Stratford CDP,44.9,1.3,1.3,1.5,83.7
3245,CA,Strathmore CDP,52.9,0.4,1.5,0.2,79.4
3246,CA,Strawberry CDP (Marin County),80.2,2.1,0.3,10.9,6.5
3247,CA,Strawberry CDP (Tuolumne County),95.3,0,0,0,8.1
3248,CA,Sugarloaf Mountain Park CDP,(X),(X),(X),(X),(X)
3249,CA,Sugarloaf Saw Mill CDP,77.8,0,0,0,22.2
3250,CA,Sugarloaf Village CDP,90,0,0,0,20
3251,CA,Suisun City city,38.4,20.3,0.7,19,24
3252,CA,Sultana CDP,40.6,0,0.4,0.8,89.7
3253,CA,Summerland CDP,89.4,0.2,0.5,2.8,13.3
3254,CA,Sunnyside CDP,63.4,4.2,1.4,11,36
3255,CA,Sunnyside-Tahoe City CDP,95.1,0.2,0.3,1,5.4
3256,CA,Sunnyslope CDP,58.5,1.9,1.1,1.5,70.4
3257,CA,Sunny Slopes CDP,87.4,0,1.1,3.8,1.6
